symbol,date,close
AAPL,2026-03-02 00:00:00+00:00,264.72
AAPL,2026-03-03 00:00:00+00:00,263.75
AAPL,2026-03-04 00:00:00+00:00,262.52
AAPL,2026-03-05 00:00:00+00:00,260.29
AAPL,2026-03-06 00:00:00+00:00,257.46
AAPL,2026-03-09 00:00:00+00:00,259.88
AAPL,2026-03-10 00:00:00+00:00,260.83
AAPL,2026-03-11 00:00:00+00:00,260.81
AAPL,2026-03-12 00:00:00+00:00,255.76
AAPL,2026-03-13 00:00:00+00:00,250.12
AAPL,2026-03-16 00:00:00+00:00,252.82
AAPL,2026-03-17 00:00:00+00:00,254.23
AAPL,2026-03-18 00:00:00+00:00,249.94
AAPL,2026-03-19 00:00:00+00:00,248.96
AAPL,2026-03-20 00:00:00+00:00,247.99
AAPL,2026-03-23 00:00:00+00:00,251.49
AAPL,2026-03-24 00:00:00+00:00,251.64
AAPL,2026-03-25 00:00:00+00:00,252.62
AAPL,2026-03-26 00:00:00+00:00,252.89
AAPL,2026-03-27 00:00:00+00:00,248.8
AAPL,2026-03-30 00:00:00+00:00,246.63
AAPL,2026-03-31 00:00:00+00:00,253.79
AMZN,2026-03-02 00:00:00+00:00,208.39
AMZN,2026-03-03 00:00:00+00:00,208.73
AMZN,2026-03-04 00:00:00+00:00,216.82
AMZN,2026-03-05 00:00:00+00:00,218.94
AMZN,2026-03-06 00:00:00+00:00,213.21
AMZN,2026-03-09 00:00:00+00:00,213.49
AMZN,2026-03-10 00:00:00+00:00,214.33
AMZN,2026-03-11 00:00:00+00:00,212.65
AMZN,2026-03-12 00:00:00+00:00,209.53
AMZN,2026-03-13 00:00:00+00:00,207.67
AMZN,2026-03-16 00:00:00+00:00,211.74
AMZN,2026-03-17 00:00:00+00:00,215.2
AMZN,2026-03-18 00:00:00+00:00,209.87
AMZN,2026-03-19 00:00:00+00:00,208.76
AMZN,2026-03-20 00:00:00+00:00,205.37
AMZN,2026-03-23 00:00:00+00:00,210.14
AMZN,2026-03-24 00:00:00+00:00,207.24
AMZN,2026-03-25 00:00:00+00:00,211.71
AMZN,2026-03-26 00:00:00+00:00,207.54
AMZN,2026-03-27 00:00:00+00:00,199.34
AMZN,2026-03-30 00:00:00+00:00,200.95
AMZN,2026-03-31 00:00:00+00:00,208.27
GOOG,2026-03-02 00:00:00+00:00,306.36
GOOG,2026-03-03 00:00:00+00:00,303.56
GOOG,2026-03-04 00:00:00+00:00,303.45
GOOG,2026-03-05 00:00:00+00:00,300.91
GOOG,2026-03-06 00:00:00+00:00,298.3
GOOG,2026-03-09 00:00:00+00:00,306.01
GOOG,2026-03-10 00:00:00+00:00,306.93
GOOG,2026-03-11 00:00:00+00:00,308.42
GOOG,2026-03-12 00:00:00+00:00,303.21
GOOG,2026-03-13 00:00:00+00:00,301.46
GOOG,2026-03-16 00:00:00+00:00,304.42
GOOG,2026-03-17 00:00:00+00:00,309.41
GOOG,2026-03-18 00:00:00+00:00,306.3
GOOG,2026-03-19 00:00:00+00:00,305.73
GOOG,2026-03-20 00:00:00+00:00,298.79
GOOG,2026-03-23 00:00:00+00:00,299.02
GOOG,2026-03-24 00:00:00+00:00,289.2
GOOG,2026-03-25 00:00:00+00:00,289.59
GOOG,2026-03-26 00:00:00+00:00,280.74
GOOG,2026-03-27 00:00:00+00:00,273.76
GOOG,2026-03-30 00:00:00+00:00,273.14
GOOG,2026-03-31 00:00:00+00:00,286.86
META,2026-03-02 00:00:00+00:00,653.56
META,2026-03-03 00:00:00+00:00,655.08
META,2026-03-04 00:00:00+00:00,667.73
META,2026-03-05 00:00:00+00:00,660.57
META,2026-03-06 00:00:00+00:00,644.86
META,2026-03-09 00:00:00+00:00,647.39
META,2026-03-10 00:00:00+00:00,654.07
META,2026-03-11 00:00:00+00:00,654.86
META,2026-03-12 00:00:00+00:00,638.18
META,2026-03-13 00:00:00+00:00,613.71
